Date,Open,High,Low,Close
2015-01-01,886.3,892.0,883.65,887.9
2015-01-02,888.1,896.05,884.3,885.55
2015-01-05,885.0,890.9,874.1,875.85
2015-01-06,870.0,873.0,832.0,836.1
2015-01-07,837.1,858.8,837.0,854.3
2015-01-08,860.1,862.9,840.15,842.05
2015-01-09,848.4,862.0,845.0,860.3
2015-01-12,860.5,861.0,841.6,850.3
2015-01-13,853.0,854.95,840.5,843.15
2015-01-14,843.0,847.0,831.2,834.95
2015-01-15,840.0,871.1,840.0,864.25
2015-01-16,860.0,875.0,852.05,869.7
2015-01-19,870.2,886.0,858.75,879.65
2015-01-20,881.5,905.55,878.85,903.05
2015-01-21,905.0,911.4,892.05,906.75
2015-01-22,905.15,907.2,879.5,883.75
2015-01-23,890.0,897.8,877.0,886.9
2015-01-27,892.9,896.7,880.5,889.05
2015-01-28,886.1,909.8,886.1,906.85
2015-01-29,907.1,934.5,906.9,929.4
2015-01-30,930.0,931.25,909.0,915.25
2015-02-02,916.05,919.9,905.7,908.05
2015-02-03,913.2,940.85,913.2,937.6
2015-02-04,939.1,943.8,925.9,928.8
2015-02-05,936.0,939.9,917.6,923.7
2015-02-06,924.1,930.0,903.0,909.9
2015-02-09,901.2,918.0,892.0,896.7
2015-02-10,898.0,904.5,861.3,882.0
2015-02-11,886.0,904.75,883.0,900.7
2015-02-12,908.0,913.95,887.25,909.15
2015-02-13,914.0,920.8,909.05,917.5
2015-02-16,918.7,924.2,900.0,902.8
2015-02-18,900.0,908.0,894.4,901.65
2015-02-19,906.95,907.6,887.55,902.05
2015-02-20,895.25,896.0,871.3,873.1
2015-02-23,869.95,876.75,847.1,851.45
2015-02-24,854.25,856.8,837.0,841.45
2015-02-25,848.8,856.5,841.05,843.15
2015-02-26,846.1,850.0,836.6,842.0
2015-02-27,847.55,861.0,844.6,855.55
2015-02-28,862.8,868.4,846.6,865.15
2015-03-02,869.0,875.5,855.55,864.25
2015-03-03,869.0,906.45,867.4,900.8
2015-03-04,906.0,909.65,880.05,887.85
2015-03-05,892.5,898.75,878.15,884.95
2015-03-09,885.1,891.75,864.15,869.65
2015-03-10,868.95,875.8,855.4,859.15
2015-03-11,860.95,869.6,852.4,855.95
2015-03-12,858.0,867.4,855.6,863.8
2015-03-13,869.0,869.6,847.0,850.1
2015-03-16,851.5,853.95,840.3,842.1
2015-03-17,850.55,859.9,841.0,856.85
2015-03-18,857.0,872.25,854.7,868.65
2015-03-19,875.55,876.7,854.1,856.15
2015-03-20,857.9,861.15,848.6,854.1
2015-03-23,856.5,864.0,838.1,841.95
2015-03-24,842.1,854.3,842.1,847.95
2015-03-25,849.0,849.5,841.0,844.9
2015-03-26,841.1,849.25,824.1,829.3
2015-03-27,833.9,835.0,801.45,811.7
2015-03-30,816.6,817.7,796.45,810.75
2015-03-31,818.0,832.9,818.0,826.0
2015-04-01,824.9,839.0,813.1,836.05
2015-04-06,836.0,838.0,821.4,824.65
2015-04-07,826.05,836.1,826.05,832.85
2015-04-08,833.5,869.5,832.9,865.9
2015-04-09,865.5,899.0,858.8,895.1
2015-04-10,894.95,908.8,889.1,904.35
2015-04-13,906.8,924.75,898.75,922.5
2015-04-15,921.0,939.6,907.2,923.65
2015-04-16,924.5,938.0,919.0,928.35
2015-04-17,935.05,944.3,922.6,926.85
2015-04-20,937.3,937.45,878.5,885.65
2015-04-21,890.15,895.5,872.45,876.45
2015-04-22,881.9,886.75,867.0,879.75
2015-04-23,883.85,889.4,869.05,877.05
2015-04-24,877.0,884.45,868.65,878.9
2015-04-27,880.05,887.5,871.45,875.3
2015-04-28,874.7,882.0,858.55,865.2
2015-04-29,862.0,870.55,847.4,850.0
2015-04-30,850.0,865.9,847.95,862.35
2015-05-04,866.2,893.9,860.5,890.95
2015-05-05,893.7,901.8,885.1,892.15
2015-05-06,890.0,896.75,872.0,880.25
2015-05-07,875.0,878.45,860.0,870.75
2015-05-08,871.0,893.75,861.1,889.7
2015-05-11,892.85,899.45,883.4,895.95
2015-05-12,894.9,894.9,865.15,868.7
2015-05-13,873.35,888.65,857.2,885.1
2015-05-14,886.0,886.2,870.3,878.2
2015-05-15,881.9,886.95,870.1,873.95
2015-05-18,874.9,894.0,872.2,891.55
2015-05-19,891.25,904.75,886.6,895.55
2015-05-20,900.4,911.0,897.7,908.85
2015-05-21,911.25,915.4,894.1,896.75
2015-05-22,897.0,905.6,897.0,903.85
2015-05-25,900.0,908.0,892.35,894.5
2015-05-26,895.0,896.0,882.7,884.6
2015-05-27,886.0,890.9,880.2,885.3
2015-05-28,885.85,894.25,872.0,875.8
2015-05-29,879.9,886.45,873.1,877.0
2015-06-01,880.0,904.9,878.0,902.25
2015-06-02,905.75,918.8,891.45,898.65
2015-06-03,899.0,910.45,888.5,896.35
2015-06-04,904.2,916.2,892.55,912.7
2015-06-05,909.9,916.95,904.45,907.75
2015-06-08,906.8,910.0,883.1,885.45
2015-06-09,883.55,890.65,877.35,883.7
2015-06-10,886.0,909.9,885.0,905.8
2015-06-11,906.0,909.5,873.65,877.15
2015-06-12,879.0,892.7,878.25,889.85
2015-06-15,894.9,905.0,890.0,901.75
2015-06-16,899.0,905.0,893.2,903.95
2015-06-17,905.05,942.35,894.0,931.2
2015-06-18,932.55,982.0,932.5,978.95
2015-06-19,982.5,1006.4,982.5,996.65
2015-06-22,996.95,1008.7,986.5,991.7
2015-06-23,992.65,1002.7,991.0,995.0
2015-06-24,995.0,1006.45,986.65,990.9
2015-06-25,987.0,1009.0,985.0,1004.55
2015-06-26,999.9,1014.1,995.4,1000.7
2015-06-29,987.9,993.85,972.0,990.85
2015-06-30,989.9,1002.85,988.0,1000.1
2015-07-01,1001.0,1010.45,1001.0,1005.65
2015-07-02,1009.0,1019.75,1007.1,1010.85
2015-07-03,1009.75,1013.8,1003.05,1007.2
2015-07-06,996.1,1018.9,995.2,1015.55
2015-07-07,1011.0,1016.6,1000.0,1003.25
2015-07-08,995.85,1008.7,991.65,996.6
2015-07-09,996.0,1001.0,983.15,987.4
2015-07-10,991.1,1004.0,990.25,1001.8
2015-07-13,1001.8,1012.5,995.15,1007.0
2015-07-14,1008.9,1011.5,995.2,997.8
2015-07-15,999.75,1014.4,999.55,1011.15
2015-07-16,1012.0,1027.8,1011.15,1023.7
2015-07-17,1025.25,1031.15,1018.0,1021.7
2015-07-20,1027.8,1029.95,1017.9,1024.75
2015-07-21,1028.0,1028.45,1002.75,1007.8
2015-07-22,1005.0,1053.95,1004.6,1050.4
2015-07-23,1053.5,1067.85,1041.2,1045.3
2015-07-24,1048.0,1049.65,1021.1,1025.05
2015-07-27,1024.9,1029.9,1001.75,1005.35
2015-07-28,1008.3,1016.7,1000.1,1010.25
2015-07-29,1009.5,1012.7,992.1,996.0
2015-07-30,1000.1,1008.0,992.3,1000.15
2015-07-31,1000.0,1007.9,990.0,1001.85
2015-08-03,1001.0,1013.85,999.4,1002.45
2015-08-04,1003.4,1005.65,980.0,988.0
2015-08-05,988.25,1000.8,984.1,987.75
2015-08-06,991.0,992.0,977.5,978.95
2015-08-07,979.0,994.0,977.15,984.35
2015-08-10,984.5,988.8,964.5,968.9
2015-08-11,971.0,973.65,958.0,966.0
2015-08-12,963.6,966.0,940.55,942.9
2015-08-13,947.0,953.95,929.4,933.35
2015-08-14,940.25,972.0,934.3,966.95
2015-08-17,966.0,966.0,946.05,950.7
2015-08-18,956.0,956.0,942.2,944.1
2015-08-19,944.0,961.0,939.45,954.6
2015-08-20,959.95,959.95,913.75,916.3
2015-08-21,910.0,911.9,897.0,907.95
2015-08-24,880.0,880.0,818.0,829.55
2015-08-25,840.85,860.65,823.2,848.15
2015-08-26,847.8,874.8,840.0,853.4
2015-08-27,866.8,881.25,857.05,869.15
2015-08-28,875.0,883.0,866.1,872.4
2015-08-31,872.85,872.85,853.8,855.9
2015-09-01,853.9,853.9,835.1,839.85
2015-09-02,850.0,857.1,842.6,849.55
2015-09-03,854.05,860.75,844.4,853.85
2015-09-04,849.7,849.7,825.1,835.9
2015-09-07,838.25,844.0,827.7,833.2
2015-09-08,836.0,852.95,825.1,848.6
2015-09-09,861.0,878.7,850.5,874.05
2015-09-10,861.0,870.5,855.5,867.0
2015-09-11,872.0,876.1,856.2,860.95
2015-09-14,861.75,865.7,851.9,863.85
2015-09-15,862.0,870.0,855.6,868.15
2015-09-16,872.1,877.35,865.2,872.55
2015-09-18,878.45,899.5,877.15,895.4
2015-09-21,880.0,888.2,876.05,878.1
2015-09-22,880.0,884.9,844.5,847.9
2015-09-23,843.0,856.8,840.0,850.35
2015-09-24,848.0,848.0,834.75,837.35
2015-09-28,839.8,840.9,828.7,834.25
2015-09-29,830.0,850.25,826.1,840.75
2015-09-30,851.0,864.8,838.5,862.3
2015-10-01,873.95,873.95,858.6,864.7
2015-10-05,862.8,890.0,861.85,888.0
2015-10-06,895.65,900.5,885.75,898.05
2015-10-07,894.7,918.05,891.0,913.8
2015-10-08,914.9,914.9,886.25,889.1
2015-10-09,894.05,905.45,881.5,887.35
2015-10-12,888.0,901.6,888.0,891.75
2015-10-13,885.05,896.3,882.9,893.6
2015-10-14,895.8,905.0,893.95,902.95
2015-10-15,907.7,911.0,900.1,903.7
2015-10-16,904.5,914.8,903.7,912.15
2015-10-19,941.0,965.5,941.0,963.5
2015-10-20,965.0,966.7,953.0,956.7
2015-10-21,955.5,974.8,953.0,955.0
2015-10-23,963.95,973.05,941.15,955.65
2015-10-26,961.9,963.0,941.3,942.85
2015-10-27,938.8,948.25,937.4,939.55
2015-10-28,936.9,944.9,929.9,936.95
2015-10-29,936.0,945.0,934.95,941.0
2015-10-30,942.1,955.9,940.1,947.7
2015-11-02,949.0,961.5,945.2,959.8
2015-11-03,963.25,970.45,961.25,967.2
2015-11-04,968.0,975.0,946.2,951.3
2015-11-05,949.0,951.0,933.0,936.6
2015-11-06,939.45,954.75,937.9,952.4
2015-11-09,933.5,965.0,923.45,961.25
2015-11-10,957.0,959.5,916.3,922.75
2015-11-11,927.1,932.85,927.1,928.45
2015-11-13,915.05,938.55,914.5,933.05
2015-11-16,926.0,942.0,924.75,934.3
2015-11-17,938.05,938.9,926.2,927.75
2015-11-18,927.6,931.3,909.95,912.0
2015-11-19,918.9,938.7,917.25,934.75
2015-11-20,934.0,952.8,925.55,946.85
2015-11-23,950.0,957.9,946.2,953.75
2015-11-24,953.0,971.6,951.05,967.7
2015-11-26,971.0,991.95,968.25,988.65
2015-11-27,989.0,992.5,974.1,979.05
2015-11-30,978.5,984.4,962.3,965.85
2015-12-01,964.0,978.8,961.25,965.9
2015-12-02,966.25,979.7,964.5,977.95
2015-12-03,974.9,988.95,974.1,977.2
2015-12-04,972.3,976.2,961.4,965.45
2015-12-07,965.45,973.0,949.75,952.05
2015-12-08,948.9,953.6,936.1,940.9
2015-12-09,936.2,943.45,912.85,915.9
2015-12-10,922.5,953.8,920.0,950.35
2015-12-11,951.75,959.0,942.9,952.95
2015-12-14,947.6,963.5,946.0,955.1
2015-12-15,957.0,977.95,953.65,975.9
2015-12-16,975.9,987.55,973.5,978.65
2015-12-17,980.05,1015.0,978.0,1009.7
2015-12-18,1003.8,1009.0,990.0,991.9
2015-12-21,987.9,999.0,984.35,992.1
2015-12-22,992.8,1002.6,984.0,987.3
2015-12-23,991.8,1006.9,990.0,1003.8
2015-12-24,1003.9,1007.2,996.3,1000.55
2015-12-28,1000.6,1013.75,1000.0,1010.4
2015-12-29,1010.4,1018.7,1007.15,1015.4
2015-12-30,1015.0,1016.0,1002.0,1004.5
2015-12-31,1003.4,1019.7,999.1,1014.6
2016-01-01,1009.8,1018.9,1008.2,1015.35
2016-01-04,1005.0,1013.8,986.7,995.3
2016-01-05,1000.3,1010.0,997.0,1005.15
2016-01-06,1007.6,1038.4,1000.4,1032.2
2016-01-07,1021.05,1028.0,1008.05,1013.25
2016-01-08,1020.0,1032.9,1016.7,1025.75
2016-01-11,1015.95,1060.8,1011.0,1051.6
2016-01-12,1055.0,1065.4,1041.1,1045.45
2016-01-13,1053.1,1089.75,1047.2,1076.85
2016-01-14,1063.85,1081.0,1053.05,1061.65
2016-01-15,1069.75,1089.5,1065.6,1073.3
2016-01-18,1075.0,1083.95,1008.1,1016.85
2016-01-19,1029.0,1049.8,1014.1,1043.6
2016-01-20,1034.9,1034.9,990.0,1004.55
2016-01-21,1017.55,1025.75,976.7,984.2
2016-01-22,994.05,1011.0,994.05,1004.15
2016-01-25,1010.0,1018.75,1000.0,1003.95
2016-01-27,1008.1,1010.0,996.95,999.35
2016-01-28,1001.0,1021.8,997.1,1016.9
2016-01-29,1018.95,1040.0,1018.0,1035.4
2016-02-01,1039.95,1041.8,1025.55,1030.3
2016-02-02,1030.3,1032.8,990.5,1001.15
2016-02-03,988.0,994.0,975.0,981.4
2016-02-04,988.0,1001.0,965.7,973.05
2016-02-05,979.1,982.0,961.4,970.9
2016-02-08,971.1,984.8,957.95,961.05
2016-02-09,952.9,968.8,950.0,957.5
2016-02-10,951.7,973.0,948.65,962.65
2016-02-11,962.85,965.95,915.5,924.55
2016-02-12,933.9,933.9,888.1,906.55
2016-02-15,918.0,951.35,918.0,946.75
2016-02-16,951.1,958.0,927.0,930.55
2016-02-17,935.1,957.45,916.4,952.6
2016-02-18,962.95,968.7,936.0,940.1
2016-02-19,940.0,952.75,937.35,944.35
2016-02-22,944.1,968.3,944.1,962.3
2016-02-23,963.1,967.2,942.75,949.65
2016-02-24,944.9,958.55,942.0,952.65
2016-02-25,954.2,956.55,940.85,944.1
2016-02-26,953.0,958.75,944.3,950.35
2016-02-29,951.3,994.6,935.0,966.65
2016-03-01,964.7,985.05,964.65,981.3
2016-03-02,992.9,1005.75,987.25,1001.5
2016-03-03,1010.0,1018.0,997.5,1012.85
2016-03-04,1014.0,1015.0,1003.5,1006.4
2016-03-08,1007.5,1030.9,1007.5,1027.0
2016-03-09,1020.0,1043.9,1018.6,1041.7
2016-03-10,1042.05,1045.9,1009.0,1011.75
2016-03-11,1014.9,1029.55,1010.6,1014.5
2016-03-14,1019.1,1026.4,1012.95,1019.75
2016-03-15,1024.0,1027.85,1015.1,1020.5
2016-03-16,1021.0,1025.8,1005.45,1021.75
2016-03-17,1027.0,1036.9,1012.0,1016.0
2016-03-18,1018.25,1030.15,1015.7,1027.2
2016-03-21,1027.95,1041.5,1022.75,1037.3
2016-03-22,1037.0,1052.25,1035.65,1047.85
2016-03-23,1046.9,1046.9,1022.4,1029.2
2016-03-28,1030.0,1031.7,1015.65,1020.4
2016-03-29,1023.8,1042.0,1020.2,1036.25
2016-03-30,1042.7,1051.75,1042.7,1047.05
2016-03-31,1041.0,1056.0,1032.7,1045.2
2016-04-01,1039.1,1046.3,1025.0,1034.45
2016-04-04,1040.0,1042.2,1025.3,1035.05
2016-04-05,1031.35,1042.4,1022.2,1026.95
2016-04-06,1032.1,1036.7,1022.6,1033.75
2016-04-07,1034.9,1048.0,1022.1,1037.25
2016-04-08,1035.9,1054.45,1031.2,1036.35
2016-04-11,1037.0,1045.5,1033.0,1040.3
2016-04-12,1040.3,1057.45,1038.05,1047.4
2016-04-13,1052.55,1069.9,1052.55,1066.05
2016-04-18,1065.8,1066.8,1055.4,1064.75
2016-04-20,1069.2,1069.2,1035.8,1037.3
2016-04-21,1041.4,1052.0,1035.0,1041.15
2016-04-22,1039.0,1047.5,1029.3,1038.95
2016-04-25,1044.45,1044.45,1012.3,1016.9
2016-04-26,1015.4,1023.9,1007.5,1016.95
2016-04-27,1017.9,1025.95,1016.0,1019.4
2016-04-28,1014.0,1019.2,990.95,996.7
2016-04-29,993.45,998.55,978.85,982.7
2016-05-02,979.0,992.4,978.0,986.95
2016-05-03,988.0,994.95,972.75,975.8
2016-05-04,974.05,983.7,973.0,978.1
2016-05-05,980.0,983.45,970.9,975.25
2016-05-06,973.0,976.8,967.0,968.95
2016-05-09,975.0,986.0,972.8,983.1
2016-05-10,983.1,984.7,978.0,982.55
2016-05-11,971.8,980.75,970.0,975.4
2016-05-12,976.0,994.2,975.05,992.8
2016-05-13,988.95,990.55,975.0,978.15
2016-05-16,977.0,982.5,971.1,975.95
2016-05-17,980.25,983.1,966.35,969.15
2016-05-18,965.9,972.5,964.1,970.55
2016-05-19,971.7,971.9,945.6,951.2
2016-05-20,952.0,954.5,931.35,934.2
2016-05-23,937.35,940.7,925.65,930.0
2016-05-24,928.05,944.0,928.05,940.45
2016-05-25,949.85,952.8,941.15,951.2
2016-05-26,950.0,952.4,944.1,946.85
2016-05-27,949.05,976.9,948.75,974.7
2016-05-30,976.4,981.5,965.0,968.7
2016-05-31,969.0,973.0,956.5,957.85
2016-06-01,957.95,966.1,951.8,953.6
2016-06-02,954.5,957.15,945.1,956.25
2016-06-03,960.0,962.9,955.85,959.65
2016-06-06,961.0,963.0,952.55,954.8
2016-06-07,957.25,960.95,951.6,955.05
2016-06-08,958.0,958.0,949.15,954.1
2016-06-09,960.0,976.45,956.2,971.15
2016-06-10,974.0,984.4,968.3,976.7
2016-06-13,969.9,983.45,963.05,981.1
2016-06-14,980.95,985.4,969.3,976.25
2016-06-15,980.0,986.5,973.75,984.6
2016-06-16,981.0,983.65,967.05,976.3
2016-06-17,977.0,978.65,970.1,974.9
2016-06-20,972.15,992.6,968.0,990.2
2016-06-21,994.1,994.15,979.7,987.1
2016-06-22,985.0,985.9,977.1,980.5
2016-06-23,979.95,982.0,970.0,980.45
2016-06-24,964.9,964.9,933.4,951.45
2016-06-27,940.5,958.4,940.5,955.65
2016-06-28,956.4,961.55,955.0,957.8
2016-06-29,962.0,968.95,960.0,966.9
2016-06-30,972.0,977.5,967.05,969.15
2016-07-01,972.75,976.8,970.0,973.45
2016-07-04,975.5,993.6,975.5,986.7
2016-07-05,986.1,1002.9,980.3,993.1
2016-07-07,992.5,1000.5,986.15,987.9
2016-07-08,987.0,989.0,976.35,978.4
2016-07-11,991.0,994.95,985.5,992.5
2016-07-12,995.25,1005.0,991.0,1003.4
2016-07-13,1005.2,1016.7,1004.15,1008.75
2016-07-14,1008.1,1014.1,998.25,1004.9
2016-07-15,1009.0,1021.0,1003.5,1012.2
2016-07-18,1028.0,1038.75,1001.75,1006.25
2016-07-19,1006.0,1022.95,995.3,1017.8
2016-07-20,1019.95,1028.3,1016.55,1023.0
2016-07-21,1024.0,1025.0,1005.0,1006.35
2016-07-22,1006.0,1017.8,1005.1,1014.85
2016-07-25,1014.0,1023.75,1007.35,1022.75
2016-07-26,1023.0,1034.8,1015.2,1024.05
2016-07-27,1023.05,1026.0,1008.95,1013.1
2016-07-28,1014.95,1030.5,1013.05,1026.35
2016-07-29,1024.0,1024.9,1012.0,1014.9
2016-08-01,1018.0,1020.3,1005.05,1009.5
2016-08-02,1008.0,1020.0,1006.3,1012.8
2016-08-03,1014.4,1014.4,991.5,993.95
2016-08-04,999.0,1000.0,983.4,993.0
2016-08-05,998.0,1019.0,997.05,1016.25
2016-08-08,1019.9,1034.0,1018.65,1029.25
2016-08-09,1027.0,1034.5,1021.0,1030.7
2016-08-10,1031.25,1034.55,1002.0,1003.65
2016-08-11,1001.95,1022.85,999.6,1014.1
2016-08-12,1017.0,1042.9,1017.0,1035.8
2016-08-16,1036.25,1044.8,1015.5,1024.9
2016-08-17,1024.1,1028.8,1007.2,1013.3
2016-08-18,1016.0,1023.65,1016.0,1018.05
2016-08-19,1018.0,1022.0,1007.1,1014.9
2016-08-22,1012.0,1019.7,1007.2,1011.85
2016-08-23,1012.0,1015.0,1005.0,1010.45
2016-08-24,1011.7,1021.95,1011.0,1020.5
2016-08-25,1021.2,1029.0,1009.0,1012.7
2016-08-26,1017.9,1030.8,1014.6,1027.9
2016-08-29,1027.25,1059.75,1026.1,1057.45
2016-08-30,1062.0,1068.5,1053.0,1066.4
2016-08-31,1064.9,1074.0,1047.0,1060.0
2016-09-01,1053.0,1072.75,1025.7,1029.2
2016-09-02,1031.1,1032.55,1002.3,1013.35
2016-09-06,1019.9,1025.0,1015.0,1019.9
2016-09-07,1022.0,1027.05,1013.05,1017.65
2016-09-08,1023.05,1035.95,1020.2,1033.4
2016-09-09,1035.0,1049.9,1030.0,1044.55
2016-09-12,1030.4,1056.0,1029.15,1046.5
2016-09-14,1048.0,1059.0,1040.9,1044.75
2016-09-15,1047.0,1070.2,1047.0,1065.0
2016-09-16,1067.0,1093.85,1059.1,1075.55
2016-09-19,1072.55,1088.0,1071.0,1082.4
2016-09-20,1084.0,1084.75,1069.05,1074.2
2016-09-21,1074.0,1084.9,1069.0,1072.25
2016-09-22,1083.0,1095.8,1079.0,1088.95
2016-09-23,1089.0,1109.45,1089.0,1102.8
2016-09-26,1103.4,1129.55,1100.25,1107.2
2016-09-27,1117.0,1125.95,1106.6,1110.5
2016-09-28,1107.9,1108.0,1086.3,1090.65
2016-09-29,1095.0,1110.75,1067.4,1072.45
2016-09-30,1068.0,1094.55,1066.3,1083.7
2016-10-03,1087.0,1107.95,1076.25,1090.7
2016-10-04,1093.05,1108.3,1092.0,1096.35
2016-10-05,1104.0,1106.5,1085.8,1089.4
2016-10-06,1092.0,1126.25,1092.0,1110.8
2016-10-07,1114.0,1123.05,1106.5,1109.0
2016-10-10,1114.0,1122.0,1094.0,1096.35
2016-10-13,1089.0,1089.05,1052.0,1057.15
2016-10-14,1063.0,1082.0,1061.65,1077.65
2016-10-17,1080.0,1080.8,1058.75,1060.65
2016-10-18,1066.0,1082.75,1062.05,1081.1
2016-10-19,1084.45,1094.7,1081.4,1087.35
2016-10-20,1093.95,1098.0,1084.05,1087.55
2016-10-21,1097.0,1097.0,1058.4,1064.2
2016-10-24,1070.0,1074.0,1060.65,1063.3
2016-10-25,1065.0,1065.25,1054.2,1060.85
2016-10-26,1056.05,1059.45,1052.1,1054.05
2016-10-27,1051.1,1053.9,1043.4,1048.7
2016-10-28,1050.0,1058.0,1043.8,1054.95
2016-10-30,1058.75,1058.75,1046.3,1051.2
2016-11-01,1051.3,1055.95,1047.4,1051.0
2016-11-02,1041.0,1042.85,1021.0,1023.75
2016-11-03,1023.85,1034.75,1020.6,1023.95
2016-11-04,1020.25,1026.9,1000.0,1005.55
2016-11-07,1014.0,1016.55,999.05,1001.15
2016-11-08,1005.7,1005.7,998.3,1003.5
2016-11-09,950.0,1009.0,930.0,1004.6
2016-11-10,1018.6,1028.95,1007.0,1010.4
2016-11-11,997.85,1017.5,995.1,1001.75
2016-11-15,996.5,1000.0,979.55,985.4
2016-11-16,995.0,996.8,980.7,986.55
2016-11-17,986.0,998.15,974.4,977.75
2016-11-18,985.0,992.7,982.0,987.5
2016-11-21,987.55,993.55,983.2,991.5
2016-11-22,997.7,1007.8,993.3,1001.45
2016-11-23,1005.0,1010.5,999.55,1009.0
2016-11-24,1005.55,1005.55,982.2,987.35
2016-11-25,990.0,995.9,984.35,993.7
2016-11-28,993.0,1000.6,984.1,986.65
2016-11-29,989.0,1004.3,988.05,997.7
2016-11-30,999.95,999.95,986.65,990.05
2016-12-01,1000.0,1015.0,995.0,997.75
2016-12-02,995.9,1005.0,991.8,994.75
2016-12-05,995.0,999.7,986.5,993.85
2016-12-06,996.0,1006.55,994.6,1005.2
2016-12-07,1004.0,1007.6,996.35,999.15
2016-12-08,1005.05,1021.8,1004.35,1020.05
2016-12-09,1022.0,1031.85,1020.3,1028.95
2016-12-12,1020.5,1041.7,1020.5,1027.2
2016-12-13,1028.0,1041.0,1027.55,1039.8
2016-12-14,1039.8,1064.45,1038.2,1059.5
2016-12-15,1052.4,1067.6,1048.65,1052.95
2016-12-16,1052.0,1062.0,1052.0,1057.15
2016-12-19,1055.0,1066.95,1054.35,1062.55
2016-12-20,1054.7,1061.0,1053.15,1057.9
2016-12-21,1060.1,1067.3,1057.2,1063.25
2016-12-22,1058.0,1062.65,1050.95,1053.35
2016-12-23,1052.0,1068.95,1052.0,1057.3
2016-12-26,1054.35,1066.0,1044.65,1047.45
2016-12-27,1047.85,1067.1,1047.0,1064.7
2016-12-28,1067.9,1069.55,1047.1,1049.7
2016-12-29,1050.0,1068.8,1049.5,1065.45
2016-12-30,1064.8,1085.0,1063.1,1082.4
2017-01-02,1084.0,1090.0,1072.35,1085.1
2017-01-03,1089.85,1097.0,1081.1,1089.4
2017-01-04,1092.9,1093.0,1064.3,1067.15
2017-01-05,1071.0,1079.9,1068.75,1077.4
2017-01-06,1074.2,1085.0,1073.1,1074.95
2017-01-09,1077.0,1086.0,1071.0,1077.7
2017-01-10,1080.0,1094.4,1080.0,1089.85
2017-01-11,1095.0,1095.7,1084.0,1086.05
2017-01-12,1087.0,1090.35,1079.8,1083.3
2017-01-13,1084.55,1097.5,1084.55,1090.4
2017-01-16,1089.95,1093.95,1073.95,1076.25
2017-01-17,1065.0,1068.0,1038.5,1041.25
2017-01-18,1042.6,1048.0,1028.75,1032.55
2017-01-19,1035.15,1045.3,1031.0,1033.7
2017-01-20,1033.95,1037.45,1023.9,1025.8
2017-01-23,1021.8,1031.0,1012.8,1015.9
2017-01-24,1017.0,1028.8,1017.0,1027.3
